Georgenia_Cluster_1	Georgenia_sp_Georgenia_soli_Georgenia_muralis_Georgenia_ferrireducens_Georgenia_daeguensis_Georgenia_ruanii
Citrobacter_Cluster_1	Citrobacter_youngae_Citrobacter_werkmanii_Citrobacter_sp_Citrobacter_pasteurii_Citrobacter_murliniae_Citrobacter_koseri_Citrobacter_gillenii_Citrobacter_europaeus_Citrobacter_braakii_Citrobacter_TNT5_Citrobacter_TNT4
Parageobacillus_Cluster_1	Parageobacillus_thermoglucosidans_Parageobacillus_thermantarcticus_Parageobacillus_thermoglucosidasius
Pseudomonas_Cluster_1	Pseudomonas_vranovensis_Pseudomonas_multiaromavorans_Pseudomonas_lundensis_Pseudomonas_japonica_Pseudomonas_fuscovaginae_Pseudomonas_filiscindens_Pseudomonas_donghuensis_Pseudomonas_cichorii_Pseudomonas_alkylphenolica_Pseudomonas_alkylphenolia
Caldicellulosiruptor_Cluster_1	Caldicellulosiruptor_saccharolyticus_Caldicellulosiruptor_lactoaceticus_Caldicellulosiruptor_kristjanssonii_Caldicellulosiruptor_acetigenus
Cryptosporangium_Cluster_1	Cryptosporangium_mongoliense_Cryptosporangium_minutisporangium_Cryptosporangium_japonicum_Cryptosporangium_cibodasense_Cryptosporangium_aurantiacum
Yersinia_Cluster_1	Yersinia_wautersii_Yersinia_sp_Yersinia_similis_Yersinia_ruckeri_Yersinia_rohdei_Yersinia_pseudotuberculosis_Yersinia_pestis_Yersinia_aldovae_Yersinia_pekkanenii_Yersinia_mollaretii_Yersinia_massiliensis_Yersinia_kristensenii_Yersinia_intermedia_Yersinia_frederiksenii_Yersinia_enterocolitica_Yersinia_bercovieri_Yersinia_aleksiciae
Sphingobacterium_Cluster_2	Sphingobacterium_sp_Sphingobacterium_mizutaii_Sphingobacterium_lactis_Sphingobacterium_cellulitidis_Sphingobacterium_daejeonense
Rhizobium_Cluster_2	Rhizobium_undicola_Rhizobium_borbori_Rhizobium_straminoryzae_Rhizobium_rhizoryzae_Rhizobium_pseudoryzae_Rhizobium_oryzicola_Rhizobium_helianthi_Rhizobium_cnuense_Rhizobium_cellulosilyticus_Rhizobium_capsici
Achromobacter_Cluster_1	Achromobacter_ruhlandii_Achromobacter_pulmonis_Achromobacter_piechaudii_Achromobacter_marplatensis_Achromobacter_insuavis_Achromobacter_insolitus_Achromobacter_arsenitoxydans_Achromobacter_anxifer_Achromobacter_animicus_Achromobacter_aegrifaciens
Kitasatospora_Cluster_1	Kitasatospora_recifensis_Kitasatospora_atroaurantiaca_Kitasatospora_arboriphila_Kitasatospora_cineracea
Mesorhizobium_Cluster_3	Mesorhizobium_tianshanense_Mesorhizobium_temperatum_Mesorhizobium_tamadayense_Mesorhizobium_soli_Mesorhizobium_robiniae_Mesorhizobium_prunaredense_Mesorhizobium_muleiense_Mesorhizobium_metallidurans_Mesorhizobium_mediterraneum_Mesorhizobium_gobiense_Mesorhizobium_delmotii_Mesorhizobium_caraganae_Mesorhizobium_tarimense
Lactobacillus_Cluster_2	Lactobacillus_paralimentarius_Lactobacillus_alimentarius_Lactobacillus_crustorum_Lactobacillus_nantensis_Lactobacillus_mindensis_Lactobacillus_kimchiensis_Lactobacillus_heilongjiangensis_Lactobacillus_farciminis_Lactobacillus_formosensis
Streptomyces_Cluster_12	Streptomyces_yogyakartensis_Streptomyces_yatensis_Streptomyces_vayuensis_Streptomyces_samsunensis_Streptomyces_niger_Streptomyces_melanosporofaciens_Streptomyces_malaysiensis_Streptomyces_javensis_Streptomyces_iranensis_Streptomyces_endus_Streptomyces_demainii_Streptomyces_caatingaensis_Streptomyces_autolyticus_Streptomyces_antimycoticus
Microbulbifer_Cluster_1	Microbulbifer_variabilis_Microbulbifer_taiwanensis_Microbulbifer_sp_Microbulbifer_rhizosphaerae_Microbulbifer_maritimus_Microbulbifer_elongatus_Microbulbifer_celer_Microbulbifer_agarilyticus_Microbulbifer_chitinilyticus
Bartonella_Cluster_3	Bartonella_vinsonii_Bartonella_tribocorum_Bartonella_rattimassiliensis_Bartonella_queenslandensis_Bartonella_birtlesii_Bartonella_callosciuri_Bartonella_japonica_Bartonella_elizabethae
Acetobacter_Cluster_1	Acetobacter_persici_Acetobacter_orleanensis_Acetobacter_malorum_Acetobacter_cerevisiae_Acetobacter_persicus
Xanthobacter_Cluster_1	Xanthobacter_tagetidis_Xanthobacter_flavus_Xanthobacter_autotrophicus_Xanthobacter_aminoxidans_Xanthobacter_sp
Cellulosimicrobium_Cluster_1	Cellulosimicrobium_sp_Cellulosimicrobium_cellulans_Cellulosimicrobium_funkei_Cellulosimicrobium_aquatile
Citricoccus_Cluster_1	Citricoccus_zhacaiensis_Citricoccus_sp_Citricoccus_parietis_Citricoccus_alkalitolerans_Citricoccus_muralis
Pseudoxanthomonas_Cluster_2	Pseudoxanthomonas_jiangsuensis_Pseudoxanthomonas_taiwanensis_Pseudoxanthomonas_suwonensis_Pseudoxanthomonas_byssovorax
Novosphingobium_Cluster_2	Novosphingobium_panipatense_Novosphingobium_pentaromativorans_Novosphingobium_naphthalenivorans_Novosphingobium_gossypii_Novosphingobium_guangzhouense
Flavobacterium_Cluster_3	Flavobacterium_yonginense_Flavobacterium_segetis_Flavobacterium_psychrolimnae_Flavobacterium_myungsuense_Flavobacterium_fluvii
Paenibacillus_Cluster_4	Paenibacillus_gorillae_Paenibacillus_glycanilyticus_Paenibacillus_catalpae_Paenibacillus_lupini_Paenibacillus_radicis
Micrococcus_Cluster_2	Micrococcus_yunnanensis_Micrococcus_luteus_Micrococcus_aloeverae_Micrococcus_indicus_Micrococcus_aquilus
Streptomyces_Cluster_20	Streptomyces_xinghaiensis_Streptomyces_iconiensis_Streptomyces_chungwhensis_Streptomyces_chumphonensis
Kribbella_Cluster_1	Kribbella_swartbergensis_Kribbella_pittospori_Kribbella_italica_Kribbella_flavida_Kribbella_endophytica_Kribbella_albertanoniae
Pseudomonas_Cluster_5	Pseudomonas_proteolytica_Pseudomonas_palleroniana_Pseudomonas_mucidolens_Pseudomonas_syncyanea_Pseudomonas_simiae_Pseudomonas_salomonii_Pseudomonas_paralactis_Pseudomonas_meridiana_Pseudomonas_marginalis_Pseudomonas_lurida_Pseudomonas_lactis_Pseudomonas_grimontii_Pseudomonas_extremorientalis_Pseudomonas_extremaustralis_Pseudomonas_costantinii_Pseudomonas_cf_Pseudomonas_cedrina_Pseudomonas_auricularis_Pseudomonas_canadensis
Meiothermus_Cluster_1	Meiothermus_taiwanensis_Meiothermus_rosaceus_Meiothermus_cateniformans_Meiothermus_cerbereus_Meiothermus_ruber
